Genre,Style,Category,Variation,Video
Waltzes,Cross-Step Waltz,Waterfall Grapevine,"Waterfall Grapevine, Double Double",https://www.youtube.com/watch?v=6mUBtfZiA74
Waltzes,Cross-Step Waltz,Waterfall Grapevine,"Waterfall Grapevine, Halo Frisbee",https://www.youtube.com/watch?v=1bS6DPqwjVQ
Waltzes,Cross-Step Waltz,Waterfall Grapevine,"Waterfall Grapevine, Halo Rollaway",https://www.youtube.com/watch?v=l_zPJ5K-mwI
Waltzes,Cross-Step Waltz,Waterfall Grapevine,"Waterfall Grapevine, Triple Outside Turn",https://www.youtube.com/watch?v=K048iWBlDgQ
Waltzes,Cross-Step Waltz,Waterfall Grapevine,Waterfall Grapevine Dip,https://www.youtube.com/watch?v=tMuKmaLaStw
Waltzes,Cross-Step Waltz,Waterfall Follow's Solo,Waterfall Follow's Solo,https://www.youtube.com/watch?v=-FrjdFHZOwk
Waltzes,Cross-Step Waltz,Waterfall Follow's Solo,"Waterfall Follow's Solo, Swingout",https://www.youtube.com/watch?v=88KVSi0ILQ4
Waltzes,Cross-Step Waltz,Waterfall Follow's Solo,Tsunami,https://www.youtube.com/watch?v=zbBoEkgS74c
Waltzes,Cross-Step Waltz,Waterfall Follow's Solo,Tsunami (with Sweeps),https://www.youtube.com/watch?v=ZvYFf1yzb-8
Waltzes,Cross-Step Waltz,Shadow Position,Flip into Shadow Position,https://www.youtube.com/watch?v=DslsjpRB04s
Waltzes,Cross-Step Waltz,Shadow Position,Shoulder Slide into Shadow Position,https://www.youtube.com/watch?v=A2KucBml2f4
Waltzes,Cross-Step Waltz,Shadow Position,He Goes into Shadow Position,https://www.youtube.com/watch?v=Oy1x67Bpcyw
Waltzes,Cross-Step Waltz,Shadow Position,Shadow at His Right to Hammerlock at His Left,https://www.youtube.com/watch?v=sA5ytS0tczo
Waltzes,Cross-Step Waltz,Shadow Position,Hammerlock at His Left to Skater's at His Left,https://www.youtube.com/watch?v=imWlX5SuHCY
